1	(test) credit score model
2	001_Variables - global 1
3	002_Variables - variable nodes 1
4	003_Variables - variable nodes 2
5	008_Loops - 1
6	00_Building_your_first_workflow_optional
7	01 - Data Visualization with KNIME
8	01 Data Access - Solution
9	01 Data Access
10	01-FIRST_project
11	01-knime-intro-solution
12	010_Loops - 3
13	011_Loops - 4
14	014_External_WF_Call - 1
15	01. Data Aggregation
16	01 Data and Time and Databases
17	01 Data Cleaning
18	01 Data Export and Reporting
19	01_Data_Importing_and_Preprocessing_solution
20	01 Date and Time and Databases
21	01 Date and Time Databases ADDITIONAL DATA
23	01 Date and Time Manipulation
23	01 Date and Time Manipulation
24	01 Document Viewer
25	01 Practicing with Traditional Databases
26	01. Remote Workflow Execution
27	01.RF_Son
28	01_Basic_Customer_Segmentation_Use_Case
507	01_Basic_Visualizations_with_Python_View_node
30	01_CreditScoring
31	01_Data_Preparation
32	01_Data_Summarization
33	01_Duplicate_Row_Filter
34	01_exploracion_adult_csv
35	01_Introduction
36	01_KNIME_assessment_training_
37	01_Knime_Introduction
38	01_kNN
39	01_Missing_Value_Handling
40	01_NetworkComponentSplitter
41	01_Neural_Net
42	02 - create control table for tagging
43	02-EDA-tutorial-solution
44	02-lr-salaries-Solution
45	02- Write Data to a File
179	2
47	02 Cleaning & Standardization
743	02 Cleaning and Standardization
49	02 Creating Your Sports Analytics Dataset
51	02 Database Data Manipulation
51	02 Database Data Manipulation
52	02. Data Blending
54	02 Data Cleaning
54	02 Data Cleaning
55	02 Data Manipulation
56	02 Flow Variables and Components
57	02.GBT_Son
58	02_One_Hot_Encoding_solution
59	02_01_Time_Series_Seasonal_Plot
60	02_Database_Data_Manipulation
61	02_ingresos_por_sexo
62	02_Logistic_Regression
63	02_Missing_Value_Node
64	02_Outlier_Detection
65	02_Probability
66	02_regression
67	03 - Project 1 - Row and Column Filtering
68	03 - Project 3 - Row and Column Filtering
69	03- Reporting
70	03 - rule engine
69	03- Reporting
73	03 Aggregation and Data Blending
73	03 Aggregation and Data Blending
74	03. ANN Modeli (MLP)-R20,99
75	03b. Multiple dimensions - solution
76	03 Bringing Things Together - Solution
77	03 Bringing Things Together
78	03 Data Visualization
79	03 Flow Variables
80	03 Loops and Switches
81	03 Reporting - Custom Data
82	03. SVM_Son (SVR)
83	03. Train Model - solution
84	03_klassifikation
85	03_KNIME_assessment_interactive_app
86	03_Linear_Regression
87	03_row_filter
88	03_Rule_Engine
89	04 - Adavanced Analytics - Time Series
90	04 - create control table for formatting
91	04 - Project 1 - Numbers Strngs and Rules
92	04 - Project 3 - Data Transformation
326	4
94	04. ANN-MLP_Son
95	04 Cleaning and Filtering
96	04. Data Mining
97	04 Data Transformation - Solution
98	04 Data Transformation
99	Decision Tree Model
101	04 Decision Tree Model
101	04 Decision Tree Model
102	04 Flow Variables - Custom Data
103	04 Numbers Strings and Rules
104	04_Exercise_Solution
105	04_Regression_Trees
106	05- Components
107	05 - format the header
108	05-JKLSeason2
109	05 - Project 1 - Data and Time Manipulation
110	5
111	054005_054049
112	54047
113	05 Bags of Words and Frequencies
114	05 Data and Time and Databases
115	05 Date and Time and Databases
116	05. DNN_Son
117	05 Excel Sheets Formatting - Solution
118	05 Excel Sheets Formatting
141	07 Join and Concatenate
120	05 Machine Learning - Solution
2076	05 Machine Learning
122	05 Recursive Loop
123	05_Choose The Football Game You Want To Bet On Wisely
124	05_Read_Data_from_Database
125	05_Recursive_Loop - Solution
126	06 - format the finance column
127	06 - Project 1 - Aggregations
128	06 - Project 3 - Aggregations
129	06- Switches
339	6
131	06 Data Export and Reporting - Solution
944	06 Data Export and Reporting
133	06 Dimensionality Reduction
134	06 Document Vector
135	06_Random_Forest - Solution
136	06_Random_Forest
137	07 - freeze the first row and autosize
138	07-JKISeason2
139	07 - Project 1 - Join and Concatenate
140	7
141	07 Join and Concatenate
142	07 Loops - Custom data - loop 2
143	07 Loops - Custom data - loop 3
144	07 matching non matching strings
145	07 Visualizations
146	07_BIRT_Example_Basic
147	08 - apply formats
148	08 - Project 3 - Regression Model
149	8
150	08 Database Data Manipulation
151	08 Decision Tree Model
152	08 Regression Model
153	08 Topic Detection
154	08_Topic Labeling via a Large Language Model (LLM) via Prompt Engineering (Experimental)
155	09 - Project 3 - Decision Tree Model
156	DataModel02
157	09 Decision Tree Model
158	10 - Billing - CargaInicial
159	10 - Project 3 - Write Data to a File
160	10
161	10 Write Data to a File
162	11 - Project 3 - Reporting
163	11
164	163005_163012_163017
165	18_Decision_Tree
166	1. data preprocess
167	1 Document Viewer
168	1. feladat
169	1st_ass_casualty_dimension
170	1st_ass_collision_dimension
171	1st_ass_data_preprocessing
172	1st_ass_driver_dimension
173	1st_ass_fact_table
174	1st_ass_location_dimension
175	1st_ass_time_dimension
176	1st_ass_vehicle_dimension
177	1st_ass_visuals
178	1_Telve
179	2
180	20150915_CollectionComparision
181	20150915_deleteMinMax
182	20150915_RemoveWhiteSpace
183	2015_09_15_split
184	2015_10_20_DataTransposing
185	2017_01_23_WindGust
186	2017_01_26_TabletoMatrix
187	2017_07_25_NodeTypes
188	2017_07_26_AllCombinations
189	2017_08_01_frequentItems
190	2017_09_08_recursiveSearch
191	2017_10_06_collecting4Ports
192	2019_01_04_RemoveZoneAndTime
193	2019_03_08_PMMLCompare
194	2019_05_02_From_One_Row_To_Many
195	calculate_next.knwf
196	2019_07_23_GroupBy_Data_Preparation
197	2019_08_02_LoadTonsOfJsons
198	20200331_Pikairos_Substract_Between_Two_Different_Tables
199	2020_03_23_RandomMatcher
200	2021-01-10_Vlookup function
201	RSS Terms per Document Frequency Word Cloud
202	20211201 Pikairos Handling missing value in clustered data
203	20211027_Bildanalyse_V0
204	20220303_location
205	20220307_split_names
206	20220309_filename_binner
207	20220318_year_range
208	20220322_zipcodes
209	20220323_plot_clusters_scatterplot
210	20220327_calculating_through_list
211	20220328 Pikairos Basket Players Matching
212	20220423_get_news_2levels
213	20220505_overlaps
214	20220506_type_conversion
215	20220601 Pikairos Calculate Non-Connected Subgraphs in Relational Graph using Network Mining nodes
216	20220707 Pikairos Machine learning based on signals or sets of descriptors
217	20220708 Pikairos Calculate percentage by column
218	20220712 Pikairos Compare List of Ingredients
219	20220716 Pikairos How to convert normalized to predictions
220	20220914 Pikairos Removing all leading zeros from string
221	20220915 Pikairos Adding columns into one column
222	20220922 Bayesian Classifier CDPK1 Classification SOLUTION
223	20221008 Pikairos Change ONLY first occurrence of specific string in a column
224	20221111 Pikairos Divide by a Row value and Multiply by a constant
225	20221124 Pikairos How to filter rows based on a list of terms using the Cross Joiner and Rule Base filter nodes
226	20221207 Pikairos Bayesian Classifier for CDPK1 using H20 plugin and Fingerprints
227	20221226
228	20221229 Pikairos calculate average value per hour for non uniformly sampled time data series
229	20230103 Pikairos Replace First Date of the month with First Day of same month
230	20221230 Pikairos String to Date and Time
231	20230103 Pikairos How to create a list starting from a matrix
232	20230105 Pikairos How to Calculate Hamming Distances from Tanimoto Distances
233	20230112 Pikairos Convert Double to Integer in String Format with Comma and Decimal Separators
234	20230126 Pikairos Min-Max Normalization based on a group of columns
235	20230208 Pikairos Complicated Counting Problem
236	20230308_コドン
237	20230406 Pikairos Compare and match 2 Columns 1
238	20230410 Pikairos Splitting HTML element into rows
239	20230415 Pikairos Normalizer Node Calculations into Separate Columns
240	20230423 Pikairos JustKNIMEIt Season 2 Challenge 4 Spread Yearly Values Across Months With Loop
241	20230423 Pikairos JustKNIMEIt Season 2 Challenge 4 Spread Yearly Values Across Months Without Loop
242	20230424 Pikairos Simple Regression
243	20230426 Pikairos Cross Joiner
244	20230515 Pikairos Table Row to Variable Loop With Rule Engine
245	20230516 Pikairos Convert Object Categories Into Binary Fingerprints
246	20230523 Pikairos Convert Matrix into Binary Fingerprints
247	20230531 Pikairos JustKNIMEIt Season 2 Challenge 10 Calculating YTD and MTD for Restaurant Yummy
248	20230620 Pikairos Copy One Row In Multiple Rows With Delimiter
249	20230704 Pikairos Compare Column Headers From 2 Tables
250	20230819_Concatenate
251	20230819_Excel_Read_Write
252	20230819_GroupBy
253	20230819_Joiner
254	20230819_KNIME_First_Project
255	20230819_RowFilter_Splitter
256	20230819_XXtoYY
257	20230821_StringManipulation
258	20230822_MathFormula
259	20230823_Sorter
260	20230824_Pivoting
261	20230826_Column_Rename_Filter_Resorter
262	20230826_Unpivoting
263	20230827_FlowVariable_DataTimeConfiguration_ExcelSheetAppender
264	20230829_Loop
265	20230903_CSVReaderWriter
266	20230903_FileReader
267	20230907 Pikairos JustKNIMEIt Season 2 Challenge 24 Fraudulent Email Address Detection
268	20230911_Transpose
269	20230915_DateAndTimeDifference
270	20230916_ExtractColumnHeader
271	20230916_InsertColumnHeader
272	20230916_ReferenceColumnFilter_Splitter
273	20230916_RowID
274	20230916_RuleEngine
275	20230917_CellSplitter
276	20230917_MissingValue
277	20230917_ValueCounter_ConstantValueColumn
278	20230918_CrossJoiner
279	20230918_DateAndTime-BasedRowFilter
280	20230918_DateAndTimeShift
281	20230918_ExtractDateAndTimeFields
282	20230919_CreateDirectory
283	20230921 Pikairos JustKNIMEIt Season 2 Challenge 26 Calculating Sales Performance
284	20230924_CreateTempDir
285	20230929 Pikairos JustKNIMEIt Season 2 Challenge 27 Exploring World Cup Datasets
286	20231006 Pikairos JustKNIMEIt Season 2 Challenge 28 Funnel Plotting with Plotly
287	20231016 Contour Plot (Plotly)
288	2024 -Week 1 - Prep Air's Flow Card
289	2024 -Week 2- Average Price Analysis
290	2024- Week 6 - Staff Income Tax
291	210414_Olympic_Games_Medal
292	21_EatingOut
293	230919 ZScore Heatmaps for High throughput screening
294	2019_07_29_24-Month_Period_Detection
295	240403 search for similar molecules
296	26354
297	28878-time-date-variable-use
298	28915-extract-calc-value-add-as-constant
299	2. data visualisation
300	2. Kafka Producer
301	2 Reading Text Data
302	2Scatter_deneme
303	2 Write Data to a File
304	30052-if-statement
305	3007_Assignment
306	311006_311045_Project 1
307	311006_311045_Project 2
308	311022-311036
309	311022_311036
310	311031- 311044- 311112
311	311066_311077_Project 1_UnSupervised Learning
312	311066_311077_Project 2_Supervised Learning
313	311162_311171_Project 1
314	311162_311171_Project 2
315	31256-getting-time-stamp
316	31485-looping-through-excel-sheets
317	31501_regex_matcher
318	31892-struggling-to-split-cell
319	3. decision tree classification
320	3 KNIME Excel CaseStudy solution
321	3. Model Deployment with kafka
322	3 Reporting
323	3 Rows and Colum Filtering
324	3 Tagging
325	3_WC
326	4
327	4.1 k-Nearest Neighbors with k=4 (WineData)
328	4 Cleaning and Filtering
329	4 Decision Tree Model
330	4 Flow Variables
331	4KNIME_project
332	4. knn classification
333	4 modul Zaytsev
334	4 Numbers Strings and Rules
335	4_Ash
997	4_Final_Project_RH
337	50143
338	5. Gaussian naive bayes classification
339	6
340	62695-appending-sheets
341	6 Aggregations
342	6 Document Vector
343	6. Simple Regression Tree
344	6 Switches
345	7-tage-inzidenz_evolution_Berlin
346	78264 - Mixed types in one column
347	7 Join and Concatenate
348	7. Linear Regression
349	7 Visualizations
350	7_Passes_JKISeason2-7
351	8.1 Practical Machine Learning with R Churn Analysis (unbalanced)
352	8.2 Practical Machine Learning with R Churn Analysis (balanced with SMOTE)
353	COLUMN-COMPARE_website-boosting
354	8 Decision Tree Model
355	8. polynomial regression
356	8 Topic Detection
357	9
358	99 - final workflow
359	9. Random Forest Regression
360	aayaza_workflow
361	aayaz_workflow21
362	Aba Gasto Teste 2024
363	ABC_Analysis_Coefficient_of_Variability_Approach
364	ABC_Analysis_Naive_Approach
365	ACADEMIC_PERFORMANCE_2021
366	Accessing columns by position or by name or by variable
367	Accessing GitHub API
368	Accounting add credit column
369	ACreditScoring
370	AD - Análise Diagnóstica
371	AdarshSingh_CreditScore Model
372	Adarsh_Churn Prediction Model
373	Add Column Number
374	2020_09_25_Adding_Cluster_Labels_k-Means_Custering
375	2020_10_12_Adding_Missing_Records
376	Add Line Chart To Table
377	Add missing months to dataset
378	addrows
379	Add separator after every 2nd character
380	Addup or Countup by Group
381	Add variables to specific cells
382	AddZeroToDigitsForSorting
383	ADI-Group-Workflow
384	Aditya_credit score model
385	Adjusted_R2_Measure
386	Simple workflow - to be prepared to be run in LiveDesign
387	Admi
388	15_Advanced_Query_Building
389	Day1_CalorieCounting
390	Day2_RockPaperScissors
391	ADVNVAi_Facebook-KOERS
392	ADVNVAi_get-data_HDD
393	ADVNVAi_get-data_meemooAPI
394	Adv_Trees_Chap3_Rule_Induction
395	Adv_Trees_Chap6_PMML
396	Adv_Tree_Chap4_Python_Script_Node
397	Adv_Tree_Chap5_Random_Forest
398	Adv_Tree_Chap6_DataReduction
399	Adv_Tree_Chap6_Inspector
400	AED_Multivariada
401	AED_Univariada
402	aflevering2
403	aflevering 3
404	Age Group Distributed Clean Data
405	Age Group Distributed Clean Data 1
406	Aggregate data - Student Cancelling Reasons - Post 77160
407	Aggregate Data
408	kn_forum_27700_spot_rate_previous_month
409	Aggregation and Data Blending LAB
410	Aggregator Advisor
411	Airline
412	Airline Customer Satisfaction
413	Airport-2
414	Airport-3
415	Airport-Carl-Tree
416	AirTemp
417	Air_02
418	Air_05
419	Air_Quality
420	Ajusting Quantities to be ordered to suppliers Minimum ordering quantities
421	Akhtar_et_al_Bacterial_FISH_Example_Workflow
422	Algoritmo_K-Nearest_Neighbors
423	Schulen
424	2019_09_05_All_in_One_Row
425	AMAZON_BI
427	Amazon_workflow_9.16
427	Amazon_workflow_9.16
428	AMIA Demo Project
429	Amrit Anand
430	AnaliticaPelis
431	Analtyics_FlightTour_ML
432	Analyse_des_indicateurs_de_l'égalité_femme-homme
433	Analytics Workflow - Schedule Deployment
434	Analytics Workflow - Service Deployment
435	Analytics Workflow - Trigger Deployment
436	02_Analyze_Apply_Churn_Predictor
437	01_Analyze_Training_a_Churn_Predictor
438	03_Analyze_Clustering_location_data
439	04_Analyze_Linear_Regression
440	Analyze_Particles
441	Binary to Table
442	And_OR_Else if
443	Ankit_Bhardwaj
444	Annotations_DuplicateFilter
445	Announcement Volumes
446	A111_GetRequest
447	Append current month column
448	s_420_spark_h2o_apply
449	Approximate match mapping
450	App_store_wf
451	AprendizajeSupervisado2
452	apriori_1077
453	ArbolAlexandraRamirez
454	Arboles_Dessicion
455	Arbol_decision
456	arm_degerlendirme
457	Array-Values to Columns with occurence count
458	AryanDevbrat_Credit_Scoring
459	AshishUpadhyay_Knime
460	Ash_2
461	Ash_5
462	Ash_Day 1
463	Ash_Day2
464	Ash_project1 Day 1
465	Ash_project1 Day 2
466	Ash_project3
467	assesment
468	assesment1
469	Assessment1(Khushi Chaudhary-87)
470	assessment1
471	Assessment Task 2
472	Assigment 1
473	Assigment 1 Backup
474	assignment
475	Assignment 2, Question 8
476	Assignment 2
477	Assignment3-Question2C,5
478	Assignment 3 Question 7
479	Assignment_1.2
480	Assignment_2
481	Association Mining
482	assoziationsanalyseBWM_WIM
483	Asssesment Project Credit Scoring
484	A template pattern for Cumulative Calculations using Standard Nodes with a Recursive Loop
485	AU5800_CalPassFail_DataCompare
486	Aula 03
487	AustinRestaurant
488	auto incrementing number based on specific column value
489	Automate Column CreateRename to P1-P9  -Adr
490	Automate Column CreateRename to P1-P9  -v2
491	AVANCE PROYECTO CLASE (KNIME)
492	Average Wind and Airflow
493	Avinash_KNIME_MRA2_MBA
494	Avinash_KNIME_project_MRA_2
495	avocado's prices simple regression
496	Ayumitha Yulianti_Data Cleaning Project_SMKN 7 Jakarta
497	BACKLOG HUB´S
498	bank churn
499	Bankruptcy_Prediction
500	Bank Telemarketing
501	Bank_Personal_Loan_Modelling-1(PCA)
502	Bank_Personal_Loan_Modelling-1
503	Bank_Personal_Loan_Modelling-2(categorical)
504	BarChartQues
505	17887
506	Session_01_table_demo_1_table
507	01_Basic_Visualizations_with_Python_View_node
508	BasketballCleaningHubversion
509	BasketballCleaningHubversion 1.2
510	Basketball Hubversion 2
511	BATD_aula2
512	BDA_Capstone_UserClassifier
513	BDDAProject New
514	BDDA_Mid Term
515	BD_PRUEBA1
516	BD_tarea_Alvarado_Paz
517	BENFORD
518	01_Big_Data_Preprocessing_Example
519	Binary Operations
520	BindingDB_Compound2Targets
521	BindingDB_Target2Compounds
522	Bing Isochrone (To Share)
523	binning
524	BIRT-Workflow-1-with-2-Input-Tables
525	BIRT-Workflow-2-with-1-Input-Table
526	BIRT Report bioactivity prediction
527	02_Bivariate_Analysis
528	BLOB_PARSE
529	Blog - Predictive Nodes in KNIME
530	BMM-2023-W2
531	BMM-2023
532	Bocquet_Mickaël_1_workflow_KNIME_102023
533	Bölüm 8-Ders 39
534	titanic-boostedtrees
535	BradyDiff
536	3 Usage of Breakpoint in a Loop
537	Breast Cancer Binary Classification
538	Breast Cancer Prediction Production Workflow
77	03 Bringing Things Together
540	Building_a_creditscoring_model
541	Building_A_Credit_Demo1
542	Building a JSON Tree
543	Building a Predictive Model
544	Building Sentiment Predictor - Lexicon Based
545	Building CNN from scratch with Keras Layer nodes
546	Build a Simple Classifier
547	bulding a credit card
548	bulk_change_column_header
549	kn_forum_43934_excel_bulk_import
550	Bülten Gazeteciliği Churnalism
551	Business Insider Markets
552	C-H bond functionalization
553	C04
554	C10
555	C24_Fraudulent Email Address Detection
556	C25_Detecting the Presence of Heart Disease
557	C27_Exploring World Cup Datasets
558	C28_Funnel Plotting with Plotly
559	C29_Table Tennis Tournament
560	c4.1_1_House_Prices_prediction
561	c4.1_2_Titanic_Passengers_Prediction
562	c6.2_1_get_gold_price_data
563	CA2 (Group)
564	Cabana_Santillan_Knime
565	Cacellation L POC accounts
566	Cafe
567	CalculadoraRDKitDescriptores
568	Calculate Area
569	Calculate date difference between each row of CarID
570	Calculate number of weekdays and weekends of customer stay
571	Calculate period new or lost customer
572	Calculate Rate of Increase
573	Calculate Totals (Multiple Files)
574	Calculate week start and end
575	Calculating Monthly Change in Financial Accounts-adr
576	Calculating Sales Performance
577	calculation
578	calculoSimilitudCDK
579	Calendar Creation
580	CallCenterProject
581	Call Workflow Example
582	cambio_de_mes_en_una_celda
583	Cancer data
584	CarMax Prediction Read in Data and Clean Data
585	carsells
586	Car Analysis Cross Validation Un Analista Peruano Init
587	car_data_with_without
588	Car_Price_Prediction
589	car sales
590	casanissei
591	CASE-SWITCH-EXAMPLE
592	Case1-Mapping and Analyzing Population Density Pattern in Baton Rouge
593	Case2A1-Geocoding Hospitals and Estimating Euclidean and Manhattan Distances
594	Case2A2-Estimating and Comparing Distances by Google OSRM and Road Network
595	Case2B-Analyzing Distance Decay Behavior for Hospitalization in Florida
596	Case3B-Area-Based Interpolations of Population in Baton Rouge
597	Case3C-Detecting Spatiotemporal Crime Hotspots in Baton Rouge
598	Case4A-Defining Service Areas of Acute Hospitals in Baton Rouge
599	Case4B1- Delineating Hospital Service Areas by the Refined Dartmouth Method
600	Case5A-Measuring Accessibility of Primary Care Physicians in Baton Rouge
601	Case5B-Implementing the 2SVCA Method for Telehealth Accessibility
602	Case6A-Function Fittings for Monocentric Models at the Census Tract Level
603	Case6C-Function Fittings for Monocentric Models at the Township Level
604	Case 7-PCA FA CA and application in Social Area Analysis
605	Casee8B-Detecting Colocation between Crime Incidents and Facilities
606	Case09A-One Level Spatial Clustering
607	Case9B-Calibrating Clustering Indicators WTVR and Compactness
608	Case10-Implementing the Garin-Lowry Model in a Hypothetical City
609	Case11B1-Location-Allocation Analysis of Hospitals-Part 1 Data Preparation
610	Case11B2-Location-Allocation Analysis of Hospitals-Part 2 location-allocation
611	Case14A-Spatiotemporal Big Data Analytic-Rebuilding Taxi Trajectory
612	Case14B-Spatiotemporal Big Data Analytic-Aggregating Taxi Trajectory between Grids
613	Case 3 DC Selection
614	Case 3 DC Selection Without Outliers
615	Case Study 2
616	CAS Applied Data Analytics - Wiederholer in Zahlen und Prozent
617	Diplomarbeit CAS Buchung Tage vor Abreise
618	Categorical Autocorrelation
619	Categorizing Notes
620	Category to Number
621	CC_Scoring
622	CDC cancer data
623	cdf_example
624	CDK_in_javasnippet
625	Cell Splitter by Position Using Variables
626	Cell Splitter Multiple Delimiters
627	Just Knime it-21
628	Challange_19
629	Challange 21
630	Challange 23
631	Challenge-04
632	challenge-3
633	Challenge-5 justknimeit 5
634	Challenge 01_-_Comparing Exchange Rates
635	Challenge 02_-_Segmentation of Credit Card Users
636	Challenge 04
637	Challenge 04 Spread Yearly Values Across Months
638	Challenge 04_-_Spread Yearly Values Across Months
639	Challenge 05
640	Challenge 05 Rank Countries by Air Quality and Water Pollution
641	Challenge1-KeepSimpsonMarge
642	Challenge10
643	Challenge 11_-_Mean Time to Close a Ticket
644	Challenge 13_-_Onsite and Online Transactions
645	Challenge 14 - Removing Noise from Data
646	Challenge 14 Removing Noise from Data
647	Challenge 14_-_Removing Noise from Data
648	Challenge 15 - Extracting a Table from a PDF
649	Challenge 15 Extracting a Table from a PDF
650	Challenge 15_-_Extracting a Table from a PDF
651	Challenge 17 Housing Market Madness
652	Challenge 18 - Categorizing Notes
653	Challenge 19 - Employee Skills
654	Challenge 19_-_Employee Skills
655	Challenge19_2022_skills
656	Challenge 20 - Patient Network Days
657	challenge 20220209
658	challenge 20220216
659	challenge 20220223
660	Challenge 21 - Eating Out
661	Challenge 21 Eating Out
662	Challenge 21_-_Eating Out
663	Challenge 23 - Churning Problem - Solution
664	Challenge 23 - Modelling Churn Predictions
665	Challenge 23
666	Challenge 23 Modeling Churn Predictions - Part 1
667	Challenge 28 - Left Triangle Star Pattern
668	Challenge 28
669	Challenge 28 Left Triangle Star Pattern
670	Challenge 28_-_Left Triangle Star Pattern
671	Challenge 3 - CDC Cancer Data
672	Challenge 3 - CDC Cancer Data AV
673	Challenge 3 -justknimeit-3
674	Challenge3
675	Challenge 32 - Change Structure of an Excel File
676	Challenge 32 Change Structure of an Excel File
677	Challenge 32_-_Change Structure of an Excel File
678	Challenge 33 - Medical Procedure Prices
679	Challenge 33 Medical Procedure Prices
680	Challenge 34 - Word Scramble
681	Challenge 36 - Implementing Custom Time Alignment
682	Challenge 37 - Text Deduplication
683	Challenge 37 Text Deduplication
